,smiles,descriptors
25,Cl[C:9]([CH3:10])=[O:11].[CH3:1][O:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][cH:12]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][c:8]([C:9]([CH3:10])=[O:11])[cH:12]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
26,Cl[C:10]([CH3:11])=[O:12].[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[cH:9]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][cH:6][c:7]([Br:8])[c:9]1[C:10]([CH3:11])=[O:12],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
27,Cl[C:10]([CH3:11])=[O:12].[CH3:1][O:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][cH:9]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([Br:6])[cH:7][cH:8][c:9]1[C:10]([CH3:11])=[O:12],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
28,[CH3:1][O:2][c:3]1[cH:4][cH:11][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[cH:20]1.Cl[C:12](=[O:13])[c:14]1[cH:15][cH:16][cH:17][cH:18][cH:19]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH3:10])[c:11]([C:12](=[O:13])[c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[cH:20]1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
29,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[cH:9][c:18]1[O:19][CH3:20].Cl[C:10](=[O:11])[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([O:7][CH3:8])[c:9]([C:10](=[O:11])[c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[c:18]1[O:19][CH3:20],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
30,[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[cH:8][cH:17][c:18]1[O:19][CH3:20].Cl[C:9](=[O:10])[c:11]1[cH:12][cH:13][cH:14][cH:15][cH:16]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([C:9](=[O:10])[c:11]2[cH:12][cH:13][cH:14][cH:15][cH:16]2)[cH:17][c:18]1[O:19][CH3:20],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
31,[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:21][cH:22][cH:23][c:24]12.Cl[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]1>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[c:11]([C:12](=[O:13])[c:14]3[cH:15][cH:16][c:17]([Br:18])[cH:19][cH:20]3)[cH:21][cH:22][cH:23][c:24]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
32,[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][cH:13][cH:14][c:24]12.Cl[C:15](=[O:16])[c:17]1[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]1>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][cH:13][c:14]([C:15](=[O:16])[c:17]3[cH:18][cH:19][c:20]([Br:21])[cH:22][cH:23]3)[c:24]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
33,[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][cH:22][cH:23][c:24]12.Cl[C:13](=[O:14])[c:15]1[cH:16][cH:17][c:18]([Br:19])[cH:20][cH:21]1>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][c:12]([C:13](=[O:14])[c:15]3[cH:16][cH:17][c:18]([Br:19])[cH:20][cH:21]3)[cH:22][cH:23][c:24]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
34,[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][cH:13][cH:23][c:24]12.Cl[C:14](=[O:15])[c:16]1[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]1>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][cH:12][c:13]([C:14](=[O:15])[c:16]3[cH:17][cH:18][c:19]([Br:20])[cH:21][cH:22]3)[cH:23][c:24]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
35,[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][c:12]([Br:13])[cH:14][cH:23][c:24]12.Cl[C:15](=[O:16])[c:17]1[cH:18][cH:19][cH:20][cH:21][cH:22]1>>[CH3:1][CH2:2][n:3]1[c:4]2[cH:5][cH:6][cH:7][cH:8][c:9]2[c:10]2[cH:11][c:12]([Br:13])[c:14]([C:15](=[O:16])[c:17]3[cH:18][cH:19][cH:20][cH:21][cH:22]3)[cH:23][c:24]12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
