,smiles,energies,reaction_smiles
35,[C:3]([OH:4])([F:5])=[CH:6][CH:7]=[C:8]([CH3:9])[CH3:10].[CH3:1][CH:2]=[C:11]([CH3:12])[SH:13]>>[CH3:1][CH:2]1[C:3]([OH:4])([F:5])[CH:6]=[CH:7][C:8]([CH3:9])([CH3:10])[C:11]1([CH3:12])[SH:13],0.04936212260500383,CC(C)=CC=C(O)F.CC=C(C)S>>CC1C(O)(F)C=CC(C)(C)C1(C)S
36,[CH:4]([SH:5])=[CH:6][CH:7]=[CH2:8].[CH3:1][C:2]([CH3:3])=[CH:9][F:10]>>[CH3:1][C:2]1([CH3:3])[CH:4]([SH:5])[CH:6]=[CH:7][CH2:8][CH:9]1[F:10],0.023311266656001806,C=CC=CS.CC(C)=CF>>CC1(C)C(S)C=CCC1F
37,[C:7]([CH3:8])([OH:9])=[CH:10][CH3:11].[CH3:1][CH:2]=[CH:3][CH:4]=[CH:5][CH3:6]>>[CH3:1][CH:2]1[CH:3]=[CH:4][CH:5]([CH3:6])[C:7]([CH3:8])([OH:9])[CH:10]1[CH3:11],0.030373342106997825,CC=CC=CC.CC=C(C)O>>CC1C=CC(C)C(C)(O)C1C
38,[CH3:1][C:2]([I:3])=[CH:4][CH:5]=[CH2:6].[C:7]([CH3:8])([CH3:9])=[CH:10][NH2:11]>>[CH3:1][C:2]1([I:3])[CH:4]=[CH:5][CH2:6][C:7]([CH3:8])([CH3:9])[CH:10]1[NH2:11],0.021663218348003,C=CC=C(C)I.CC(C)=CN>>CC1(I)C=CCC(C)(C)C1N
39,[CH2:8]=[CH2:9].[NH2:1][CH:2]=[CH:3][CH:4]=[C:5]([OH:6])[SH:7]>>[NH2:1][CH:2]1[CH:3]=[CH:4][C:5]([OH:6])([SH:7])[CH2:8][CH2:9]1,0.04910670151200236,NC=CC=C(O)S.C=C>>NC1C=CC(O)(S)CC1
40,[CH2:3]=[CH2:4].[SH:1][CH:2]=[CH:7][CH:6]=[CH2:5]>>[SH:1][CH:2]1[CH:3]=[CH:4][CH2:5][CH2:6][CH2:7]1,0.014189201469999801,C=CC=CS.C=C>>SC1C=CCCC1
41,[CH3:1][C:2]([NH2:3])=[CH:10][Cl:11].[CH:4]1=[CH:5][CH:6]=[C:7]([OH:8])[CH2:9]1>>[CH3:1][C:2]1([NH2:3])[CH:4]2[CH:5]=[CH:6][C:7]([OH:8])([CH2:9]2)[CH:10]1[Cl:11],0.028201038685999436,OC1=CC=CC1.CC(N)=CCl>>CC1(N)C2C=CC(O)(C2)C1Cl
42,[CH2:4]=[CH:9][SH:10].[CH3:1][CH:2]=[CH:3][CH:8]=[C:5]([CH3:6])[NH2:7]>>[CH3:1][CH:2]1[CH:3]=[CH:4][C:5]([CH3:6])([NH2:7])[CH2:8][CH:9]1[SH:10],0.05317351755600086,CC=CC=C(C)N.C=CS>>CC1C=CC(C)(N)CC1S
43,[C:8]([OH:9])([SH:10])=[C:11]([CH3:12])[NH2:13].[CH3:1][CH:2]=[CH:3][CH:4]=[C:5]([OH:6])[SH:7]>>[CH3:1][CH:2]1[CH:3]=[CH:4][C:5]([OH:6])([SH:7])[C:8]([OH:9])([SH:10])[C:11]1([CH3:12])[NH2:13],0.037319426590002536,CC=CC=C(O)S.CC(N)=C(O)S>>CC1C=CC(O)(S)C(O)(S)C1(C)N
44,[CH2:4]=[CH:5][CH:6]=[CH:7][Cl:8].[CH3:1][C:2]([OH:3])=[C:9]([CH3:10])[CH3:11]>>[CH3:1][C:2]1([OH:3])[CH2:4][CH:5]=[CH:6][CH:7]([Cl:8])[C:9]1([CH3:10])[CH3:11],0.05925034153900555,C=CC=CCl.CC(C)=C(C)O>>CC1(O)CC=CC(Cl)C1(C)C
